pl_name,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pul_flag
GJ 3138 d,d,,Gaia DR2 5144740907820131840,1.0,3.0,0.0,Radial Velocity,2017.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 317 b,b,,Gaia DR2 5701750711020088192,1.0,2.0,0.0,Radial Velocity,2007.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 317 c,c,,Gaia DR2 5701750711020088192,1.0,2.0,0.0,Radial Velocity,2018.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 3222 b,b,HD 21175,,1.0,1.0,0.0,Radial Velocity,2022.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 328 b,b,,Gaia DR2 577602496345490176,1.0,2.0,0.0,Radial Velocity,2013.0,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,
GJ 328 c,c,,Gaia DR2 577602496345490176,1.0,2.0,0.0,Radial Velocity,2023.0,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,
GJ 3293 b,b,,Gaia DR2 4893118771316702720,1.0,4.0,0.0,Radial Velocity,2015.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 3293 c,c,,Gaia DR2 4893118771316702720,1.0,4.0,0.0,Radial Velocity,2015.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 3293 d,d,,Gaia DR2 4893118771316702720,1.0,4.0,0.0,Radial Velocity,2017.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 3293 e,e,,Gaia DR2 4893118771316702720,1.0,4.0,0.0,Radial Velocity,2017.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 3323 b,b,,Gaia DR2 3187115498866675456,1.0,2.0,0.0,Radial Velocity,2017.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 3323 c,c,,Gaia DR2 3187115498866675456,1.0,2.0,0.0,Radial Velocity,2017.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 3341 b,b,,Gaia DR2 4827532078086044416,1.0,1.0,0.0,Radial Velocity,2015.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 338 B b,b,HD 79211,Gaia DR2 1022456104850892928,2.0,1.0,0.0,Radial Velocity,2020.0,Ground,Calar Alto Observatory,3.5 m telescope,
GJ 3470 b,b,,Gaia DR2 654687847820642560,1.0,1.0,0.0,Radial Velocity,2012.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 3473 b,b,,Gaia DR2 3094290054327367168,2.0,2.0,0.0,Transit,2020.0,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,
GJ 3473 c,c,,Gaia DR2 3094290054327367168,2.0,2.0,0.0,Radial Velocity,2020.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 3512 b,b,,Gaia DR2 1040827088726734976,1.0,2.0,0.0,Radial Velocity,2019.0,Ground,Calar Alto Observatory,3.5 m telescope,
GJ 3512 c,c,,Gaia DR2 1040827088726734976,1.0,2.0,0.0,Radial Velocity,2020.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 357 b,b,,Gaia DR2 5664814198431308288,1.0,3.0,0.0,Transit,2019.0,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,
GJ 357 c,c,,Gaia DR2 5664814198431308288,1.0,3.0,0.0,Radial Velocity,2019.0,Multiple Locales,Multiple Observatories,Multiple Telescopes,
GJ 357 d,d,,Gaia DR2 5664814198431308288,1.0,3.0,0.0,Radial Velocity,2019.0,Multiple Locales,Multiple Observatories,Multiple Telescopes,
